timeStamp,averageExecutionTime,medianOfFlowDuration,maxFlowDuration,flowDurationList,avgCpuByProcess,medianOfCpuByProcess,maxCpuByProcess,cpuByProcessList,avgDiskByProcess,medianOfDiskByProcess,maxDiskByProcess,diskByProcessList,avgMemByProcess,medianOfMemByProcess,maxMemByProcess,memByProcessList,percentageHeap,medianOfHeap,maxHeap,percentHeapList,percentageWorkerThreads,medianOfWorkerThreads,maxWorkerThreads,percentWorkerThreadsList,avgInBufferSize,medianOfInBuffer,maxInBuffer,inBufferSizeList,percentageOutBuffer,medianOfOutBuffer,maxOutBuffer,percentOutBufferList,avgSystemCpuJmx,medianOfSystemCpu,maxSystemCpu,systemCpuJmxList
Jan 10-- 2021 3:47:36 PM,10980.4,10777,11395,11395;10695;10712;10777;11323;,0.08249114,0.081,0.145,0.05849498918734661;0.14459068641149422;0.10313380270294348;0.02374508269744708;,329457773,3.29E+08,329582210,329582210;329581689;329416294;329250899;,52,52,52,52.0;52.0;52.0;52.0;,0.187723073,0.176,0.301,0.15782617016373393;0.09722844013915255;0.1943735849261321;0.3014640979466963;,47,47.5,51,42.0;45.0;50.0;51.0;,0,0,0,0;0;0;0;,2.553333333,2.067,6.067,0.013333333333333334;4.08;6.066666666666666;0.05333333333333334;,0.085316817,0.085,0.147,0.06849826453358054;0.14678467161901354;0.1006288676107545;0.025355463682987245;
Jan 10-- 2021 3:50:01 PM,11469,11515,13366,10979;13366;11515;11943;9542;,0.073709306,0.069,0.133,0.06127026951225374;0.13313259851092454;0.0759375431325245;0.024496813497193945;,329915995.8,3.30E+08,329917168,329917168;329916126;329915605;329915084;,52,52,52,52.0;52.0;52.0;52.0;,0.143095072,0.146,0.217,0.21677230455417465;0.06333412715944445;0.19148923437408533;0.10078462189225677;,41.5,42,47,35.0;40.0;44.0;47.0;,0,0,0,0;0;0;0;,2.566666667,3.053,4.133,0.02666666666666667;4.066666666666666;4.133333333333333;2.04;,0.074482962,0.072,0.129,0.06416956466094059;0.12928222013081825;0.07925727216098777;0.025222789843726057;
Jan 10-- 2021 3:52:22 PM,11717,11746,13201,11746;13201;12402;11002;10234;,0.073284529,0.07,0.13,0.03190783683595989;0.1302990949365761;0.10741844919396834;0.023512734505435107;,330456525.3,3.30E+08,330581353,330581353;330580311;330414916;330249521;,52,52,52,52.0;52.0;52.0;52.0;,0.192176223,0.217,0.283,0.2482527677646416;0.1854548187788851;0.28283517629831106;0.05216212849040608;,50.5,49,60,44.0;45.0;53.0;60.0;,0,0,0,0;0;0;0;,3.57,4.08,6.107,0.013333333333333334;4.12;6.1066666666666665;4.04;,0.072625326,0.068,0.131,0.030492660456611365;0.13089158668254486;0.10467408060467509;0.02444297804341744;
Jan 10-- 2021 3:54:46 PM,11566.2,11754,12814,12814;11856;11328;10079;11754;,0.078540328,0.076,0.134,0.04006247952006047;0.11100342518088921;0.13446096942974026;0.02863443876659257;,331038143,3.31E+08,331080143,331080143;331079622;331079101;330913706;,52,52,52,52.0;52.0;52.0;52.0;,0.239391022,0.241,0.338,0.3376341841661355;0.30962515459082746;0.13728132416785363;0.17302342359432;,54.25,54.5,62,46.0;54.0;55.0;62.0;,0,0,0,0;0;0;0;,1.523333333,2.02,2.04,0.013333333333333334;2.013333333333333;2.04;2.0266666666666664;,0.080821963,0.076,0.142,0.03850049151854873;0.11334299366815849;0.14196488053755385;0.02947948624555874;
Jan 10-- 2021 3:57:22 PM,11381.6,11844,12313,11219;12313;12313;11844;9219;,0.071931717,0.073,0.146,0.02536189070245956;0.09378168283475179;0.0727801283732621;0.14555544696041023;0.022179434540497135;,331776990.2,3.32E+08,331910244,331910244;331909723;331743807;331743286;331577891;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.213866656,0.236,0.255,0.23556586533229473;0.20669998482029583;0.23851520406524837;0.1340340547160369;0.25451816929222415;,47,47,55,38.0;43.0;47.0;52.0;55.0;,0,0,0,0;0;0;0;0;,0.856,0.133,2.04,0.08;0.013333333333333334;2.013333333333333;2.04;0.13333333333333333;,0.072346664,0.075,0.151,0.018402076419354985;0.09465415400806233;0.0746526345280013;0.1509265593976069;0.023097898072395484;
Jan 10-- 2021 4:00:04 PM,12681.6,12673,13437,12250;12673;13437;11657;13391;,0.07126294,0.062,0.13,0.024647454084187365;0.06242369327733778;0.12873026822448655;0.13025109677585903;0.0870334899299107;0.04280865828936065;0.022945918044244708;,332409034,3.32E+08,332575471,332575471;332574950;332574429;332409034;332243639;332243118;332242597;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;52.0;,0.17947197,0.161,0.335,0.1492798194885254;0.14120644569396973;0.08068831443786621;0.19450367819598274;0.33511318842768856;0.19408675770406095;0.16142558651787808;,40.57142857,40,50,30.0;35.0;36.0;40.0;45.0;48.0;50.0;,0,0,0,0;0;0;0;0;0;0;,1.792380952,2.04,4.08,0.04;0.08;4.053333333333333;4.08;2.04;0.05333333333333334;2.1999999999999997;,0.072222783,0.064,0.131,0.02466507630964454;0.06364453235222411;0.1313831895847004;0.12325602240735666;0.09065012638847347;0.047935439644619215;0.024025097023958386;
Jan 10-- 2021 4:02:42 PM,10653.4,10563,12094,12094;11204;9422;9984;10563;,0.076088703,0.086,0.108,0.084395207588505;0.10824116110318985;0.08812319149252491;0.02359525355301949;,332991563.5,3.33E+08,333074782,333074782;333074261;332908866;332908345;,52,52,52,52.0;52.0;52.0;52.0;,0.175208884,0.162,0.294,0.14706401561811122;0.0836366291118774;0.2936330932464504;0.1765017997927782;,52,52,56,48.0;49.0;56.0;55.0;,0,0,0,0;0;0;0;,1.54,1.053,4.053,0.09333333333333334;0.0;2.013333333333333;4.053333333333333;,0.076711404,0.083,0.115,0.08415575025284049;0.11496932980333019;0.08265200449622669;0.025068532072220373;
Jan 10-- 2021 4:25:25 PM,11527.6,11890,13202,13202;12390;11890;10142;10014;,0.115957291,0.133,0.197,0.09508038856692556;0.1971450157278914;0.17001064030162719;0.00159312085541801;,339161836,3.39E+08,340014922,340014922;339460999;338766791;338404632;,52,52,52,52.0;52.0;52.0;52.0;,0.192305079,0.184,0.33,0.11681327108774732;0.07163365753308903;0.2510598664951877;0.3297135200003095;,2,2,2,2.0;2.0;2.0;2.0;,0,0,0,0;0;0;0;,1.54,0.153,5.84,0.04;0.26666666666666666;5.84;0.013333333333333334;,0.117225643,0.133,0.201,0.09970760878907903;0.2008585518984367;0.16564012184487875;0.0026962886858155066;
Jan 10-- 2021 4:27:07 PM,12370.6,12373,12952,12202;12373;12952;11921;12405;,0.201148465,0.233,0.262,0.25435084214428283;0.22677474301748493;0.26188489390336334;0.23287334364039886;0.029858503180973647;,354108282.6,3.54E+08,356010823,356010823;354992784;354123222;353371631;352042953;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.228573169,0.202,0.351,0.14963646712021275;0.351349505634928;0.1532936285553395;0.286658618224794;0.2019276234641004;,3,3,3,3.0;3.0;3.0;3.0;3.0;,0,0,0,0;0;0;0;0;,2.461333333,4.04,4.107,0.08;4.04;4.04;0.04;4.1066666666666665;,0.201967005,0.236,0.26,0.25654854055409615;0.22583800630686268;0.260373531738057;0.23631246101426265;0.03076248561037187;
Jan 10-- 2021 4:28:46 PM,12325,12406,13547,13078;13547;11719;12406;10875;,0.221968615,0.274,0.299,0.2986760935189763;0.2608413619476473;0.2875516911615753;0.04080531266910856;,374236105.5,3.74E+08,376088152,376088152;374661092;373647149;372548029;,52,52,52,52.0;52.0;52.0;52.0;,0.122955741,0.09,0.236,0.07716624728527947;0.23608956508779105;0.07543708806456068;0.10313006357337166;,4,4,4,4.0;4.0;4.0;4.0;,0,0,0,0;0;0;0;,1.566666667,2.053,2.12,2.0533333333333332;2.12;0.04;2.0533333333333332;,0.22490075,0.283,0.291,0.2912014523496832;0.28306342440544274;0.2833488753761738;0.04198924795460002;
Jan 10-- 2021 4:30:28 PM,12787.2,12906,13625,13094;13625;11937;12374;12906;,0.262501512,0.294,0.373,0.29353007201105413;0.37288460723905453;0.30288170369859413;0.2822435244834081;0.0609676534406102;,404041607.4,4.04E+08,407560533,407560533;405588276;403787264;402220836;401051128;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.210340473,0.155,0.345,0.34517643732528724;0.13836150171722666;0.30193026805665024;0.11074502678651438;0.15548912872224163;,5,5,5,5.0;5.0;5.0;5.0;5.0;,0,0,0,0;0;0;0;0;,2.090666667,2.067,4.08,0.12;2.0666666666666664;2.12;4.08;2.0666666666666664;,0.263869475,0.298,0.376,0.2975836651985089;0.3756350762508854;0.29872206261392575;0.2849199174574153;0.062486651782505225;
Jan 10-- 2021 4:32:26 PM,11865.4,12000,12750,12750;12000;12468;11422;10687;,0.277308285,0.325,0.395,0.3077938754783578;0.39528317678087466;0.3431112961777195;0.06304478973848651;,438740455.5,4.39E+08,441012321,441012321;439281019;438049819;436618663;,52,52,52,52.0;52.0;52.0;52.0;,0.178664141,0.187,0.275,0.21146850398021377;0.27465250309466815;0.06697221629656831;0.16156334048843407;,6,6,6,6.0;6.0;6.0;6.0;,0,0,0,0;0;0;0;,1.61,2.08,2.147,2.1466666666666665;2.08;2.08;0.13333333333333333;,0.278082213,0.328,0.391,0.31103722628292785;0.39066461622180687;0.34594409166122214;0.06468291878132759;
Jan 10-- 2021 4:34:13 PM,15328,15360,15953,15608;15360;15953;14625;15094;,0.281589832,0.292,0.377,0.29189400895008966;0.2766893165698176;0.3624821527524151;0.3769247284332717;0.09995895517145409;,485142423.4,4.85E+08,488698143,488698143;486290455;485432290;483414938;481876291;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.216929617,0.167,0.335,0.11827035793945553;0.13009232878611512;0.33408501030206533;0.1674463601483782;0.3347540286213119;,7,7,7,7.0;7.0;7.0;7.0;7.0;,0,0,0,0;0;0;0;0;,0.912,0.16,2.093,0.16;2.0933333333333337;2.0933333333333337;0.09333333333333334;0.12;,0.288051687,0.296,0.382,0.2956470924337933;0.29599755498066227;0.3647023567011439;0.3817514830903256;0.10215994548880068;
Jan 10-- 2021 4:36:07 PM,12709.8,13235,14344,13235;13813;14344;11719;10438;,0.331817657,0.371,0.452,0.42220793544691576;0.37052977925710273;0.31909933616227065;0.45200783301472247;0.09524340307729517;,536057751,5.35E+08,543934915,543934915;536590688;534642116;533563502;531557534;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.212933495,0.263,0.313,0.08061409055498095;0.30136695912691597;0.3125889120619673;0.10703385448332117;0.2630636604385672;,8,8,8,8.0;8.0;8.0;8.0;8.0;,0,0,0,0;0;0;0;0;,1.304,0.147,4.107,0.14666666666666667;4.1066666666666665;2.106666666666667;0.04;0.12;,0.33507888,0.378,0.46,0.4246209887992016;0.37784973879914086;0.31656500766597395;0.45996065723821444;0.09639800615371887;
Jan 10-- 2021 4:38:07 PM,12469.2,12360,13375,12047;13375;12704;11860;12360;,0.31789947,0.381,0.419,0.41930557653446354;0.4004568500559631;0.36215887218292864;0.0896765821463603;,588342530.5,5.88E+08,591351809,591351809;588904039;587094861;586019413;,52,52,52,52.0;52.0;52.0;52.0;,0.192491848,0.166,0.334,0.33381529454254405;0.11268476190515059;0.10349356538862137;0.21997377053575395;,9,9,9,9.0;9.0;9.0;9.0;,0,0,0,0;0;0;0;,1.143333333,1.167,2.12,0.12;2.12;2.12;0.21333333333333335;,0.319879429,0.379,0.43,0.4299340891975052;0.39336734595482814;0.36499844831563005;0.09121783159146046;
Jan 10-- 2021 4:40:06 PM,14114.8,13891,15375,13666;15375;13891;14423;13219;,0.353539098,0.385,0.5,0.49997029229151657;0.4019020432503029;0.3852519336771506;0.36833755562765996;0.11223366763346326;,647336221.8,6.48E+08,651449256,651449256;649656449;647573522;645075657;642926225;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.103287855,0.065,0.296,0.06537938882124157;0.29627714088087426;0.06739985511483897;0.04966186576856616;0.037721026066971745;,10,10,10,10.0;10.0;10.0;10.0;10.0;,0,0,0,0;0;0;0;0;,1.330666667,0.133,4.133,0.13333333333333333;0.13333333333333333;4.133333333333333;2.1333333333333333;0.12;,0.352937199,0.381,0.494,0.49350111527449736;0.40560004107169606;0.380606237475255;0.3714125878153671;0.1135660157184548;
Jan 10-- 2021 4:42:02 PM,13210.2,13016,14486,14486;13016;12704;14360;11485;,0.335436407,0.402,0.425,0.41447338266592504;0.4249657647579911;0.32415383664005065;0.40180209931558425;0.11178695076727693;,701641706,7.02E+08,705655180,705655180;703136809;701578573;700012145;697825823;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.138676166,0.15,0.259,0.07782639711901031;0.25924346313741;0.05502225745172129;0.14982878650210033;0.15145992591546834;,11,11,11,11.0;11.0;11.0;11.0;11.0;,0,0,0,0;0;0;0;0;,2.272,2.147,6.147,0.06666666666666667;2.1999999999999997;6.1466666666666665;2.1466666666666665;0.8;,0.336348643,0.402,0.432,0.4036331976334103;0.4321443060566402;0.3294900280877908;0.40247227585840073;0.11400340969381728;
Jan 10-- 2021 4:43:58 PM,12837.8,13094,14579,14579;13094;13344;12063;11109;,0.323965709,0.364,0.452,0.45151723194673826;0.34208799374184823;0.385984040766442;0.11627357108807944;,758718162,7.59E+08,760894498,760894498;759753488;757949297;756275365;,52,52,52,52.0;52.0;52.0;52.0;,0.125460169,0.094,0.269,0.12503355195346358;0.2693061979877609;0.06342557696752536;0.044075347123799416;,12,12,12,12.0;12.0;12.0;12.0;,0,0,0,0;0;0;0;,1.653333333,2.167,2.173,2.1733333333333333;0.10666666666666667;2.16;2.1733333333333333;,0.328430471,0.373,0.451,0.45062542120548954;0.3517680884391028;0.39330965424911357;0.11801871874482928;
Jan 10-- 2021 4:46:00 PM,11759.8,12219,14501,14501;14329;12219;8656;9094;,0.382256457,0.462,0.496,0.44666906598544237;0.47736053048463417;0.4961239834118068;0.10887224807220167;,814409558.8,8.14E+08,820736018,820736018;814620675;812672103;809609439;,52,52,52,52.0;52.0;52.0;52.0;,0.189350518,0.164,0.326,0.10400724251296026;0.18077053842650315;0.32600900725562976;0.14661528237975469;,13,13,13,13.0;13.0;13.0;13.0;,0,0,0,0;0;0;0;,1.673333333,1.173,4.2,0.14666666666666667;2.16;0.18666666666666668;4.2;,0.384295247,0.469,0.489,0.45901435832838855;0.47874424832137646;0.48880037330451687;0.11062200766399745;
Jan 10-- 2021 4:48:05 PM,12872.4,13141,14032,13938;14032;12673;13141;10578;,0.388571589,0.445,0.617,0.4613147224126415;0.6165510679472601;0.31619104085523825;0.4447532201185075;0.10404789340034486;,869151925,8.68E+08,874938229,874938229;870722267;868343264;866452088;865303777;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.127896418,0.119,0.248,0.118705517060603;0.06164991250872406;0.2481704117955382;0.06500553773457081;0.14595071199852913;,14.2,14,15,14.0;14.0;14.0;15.0;14.0;,0.2,0,1,0;0;1;0;0;,0.557333333,0.187,2.267,0.18666666666666668;0.18666666666666668;2.2666666666666666;0.02666666666666667;0.12;,0.390914532,0.446,0.618,0.4635875482338052;0.6182450489320873;0.3200061555632341;0.445669932564418;0.10706397617195551;
Jan 10-- 2021 4:50:01 PM,12294.8,12675,14219,14219;12907;12675;11376;10297;,0.394526916,0.421,0.616,0.6155146564818336;0.464989354269566;0.37737035625477483;0.12023329640766182;,928888416,9.29E+08,932778232,932778232;930128698;927205415;925441319;,53,53,53,53.0;53.0;53.0;53.0;,0.172532561,0.15,0.268,0.12226529140089115;0.26787022614532296;0.13328469535962018;0.16671003023862072;,15,15,15,15.0;15.0;15.0;15.0;,0,0,0,0;0;0;0;,3.75,4.3,6.2,0.2;4.306666666666667;4.293333333333333;6.2;,0.398252815,0.422,0.627,0.6265528301251304;0.4662573328350751;0.37818377118616214;0.1220173239068416;
Jan 10-- 2021 4:52:01 PM,13075.8,13673,14297,14297;13673;14189;13141;10079;,0.430678374,0.508,0.59,0.5075006973304333;0.5904647030766365;0.5136070358309497;0.4225173325784486;0.11930210255920869;,986762420.6,9.86E+08,992311427,992311427;989464608;985750160;984080350;982205558;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.225102582,0.293,0.325,0.2932843546675455;0.294399518149071;0.10202362712268599;0.3252368376575714;0.11056857365789662;,16.2,16,17,16.0;16.0;16.0;16.0;17.0;,0,0,0,0;0;0;0;0;,1.218666667,0.453,2.6,0.2533333333333333;0.21333333333333335;2.6;2.5733333333333333;0.45333333333333337;,0.435513664,0.511,0.595,0.5112156680860461;0.5953918326664374;0.5288984193700259;0.42054765817812767;0.12151474197022338;
Jan 10-- 2021 4:53:58 PM,11851,12439,13141,13141;12439;12970;10142;10563;,0.32050205,0.358,0.444,0.38970150023052513;0.327056142993664;0.44410685176840436;0.12114370681527875;,1043535386,1.04E+09,1045746567,1045746567;1044503066;1042715272;1041176638;,53,53,53,53.0;53.0;53.0;53.0;,0.233857285,0.214,0.338,0.24353174701889857;0.33805192450563;0.18393512230068232;0.16991034718825074;,17,17,17,17.0;17.0;17.0;17.0;,0,0,0,0;0;0;0;,2.69,3.227,4.28,4.226666666666667;4.279999999999999;2.2266666666666666;0.02666666666666667;,0.329672319,0.359,0.442,0.3876119282091748;0.32980298566872146;0.44223544358675426;0.15903891698221428;
Jan 10-- 2021 4:55:59 PM,11975.6,12376,13938,13938;12750;11876;12376;8938;,0.300022008,0.374,0.396,0.37415982944811466;0.3961033264360305;0.1298028680645;,1099349883,1.10E+09,1102896142,1102896142;1098569484;1096584022;,53,53,53,53.0;53.0;53.0;,0.19536585,0.164,0.35,0.16393783359378633;0.07204736085651381;0.3501123544081042;,18,18,18,18.0;18.0;18.0;,0,0,0,0;0;0;,1.022222222,0.6,2.24,0.6;2.2399999999999998;0.22666666666666668;,0.302036251,0.374,0.4,0.37444233480379974;0.39970024564078366;0.1319661724362733;
Jan 10-- 2021 4:58:01 PM,12116,12563,14407,12563;14407;11688;9203;12719;,0.382049884,0.406,0.493,0.4849673280315426;0.39223536931212294;0.49330736652311474;0.4064512535120561;0.13328810114538045;,1161995738,1.16E+09,1165283635,1165283635;1163684413;1161903920;1160471847;1158634875;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.26245635,0.276,0.338,0.3049017529187924;0.15551460089257352;0.27576541533609267;0.3377591130931027;0.23834086773511814;,19,19,19,19.0;19.0;19.0;19.0;19.0;,0,0,0,0;0;0;0;0;,1.437333333,2.24,2.32,0.3066666666666667;0.06666666666666667;2.2533333333333334;2.32;2.2399999999999998;,0.385615323,0.405,0.498,0.49573688968603535;0.39381810710120446;0.49821168644687674;0.4051932875433326;0.13511664306101567;
Jan 10-- 2021 5:00:03 PM,13222.4,13548,16204,16204;13750;13548;12079;10531;,0.399843002,0.42,0.609,0.4843529111017763;0.6093929643377115;0.4202418488185674;0.3471671928729008;0.13806009152207174;,1226469872,1.22E+09,1237998376,1237998376;1227044876;1224560203;1221988545;1220757358;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.258546303,0.274,0.339,0.3336212158203125;0.25389663164511844;0.09164953296864342;0.2743431616171667;0.33922097412471824;,20.2,20,21,20.0;20.0;21.0;20.0;20.0;,0,0,0,0;0;0;0;0;,2.232,0.28,6.28,0.26666666666666666;0.27999999999999997;0.0;4.333333333333334;6.279999999999999;,0.401491897,0.426,0.608,0.4902917777148998;0.6081700840210934;0.42597401584962236;0.34308483264768463;0.1399387749146468;
Jan 10-- 2021 5:02:08 PM,13253.6,13125,14766,14766;13282;12407;12688;13125;,0.366072597,0.383,0.512,0.3825005636379038;0.3336481639238836;0.5124377569958003;0.47651447737256464;0.12526202310338555;,1290282203,1.29E+09,1294149376,1294149376;1292349294;1290991918;1288284988;1285635441;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.237288628,0.216,0.356,0.3561330776443344;0.21605619462423978;0.10844555456983675;0.21402906675979647;0.2917792485297972;,21,21,21,21.0;21.0;21.0;21.0;21.0;,0.2,0,1,0;1;0;0;0;,1.853333333,2.293,4.28,2.3333333333333335;0.32;0.04;2.2933333333333334;4.279999999999999;,0.36823104,0.378,0.513,0.3780478640034086;0.3381958581484818;0.5133907457576105;0.48335798769079846;0.1281627450588203;
Jan 10-- 2021 5:04:14 PM,14541,14734,16689,16204;16689;14328;14734;10750;,0.452727743,0.487,0.671,0.6707682992070836;0.32580284802565634;0.6391436755429664;0.4865011812933206;0.14142270934254808;,1355293846,1.36E+09,1360665392,1360665392;1358335593;1355087028;1352560465;1349820754;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.253899966,0.192,0.391,0.169475603097737;0.3767849734842866;0.19216448536026615;0.3905860205407718;0.14048874812283255;,22,22,22,22.0;22.0;22.0;22.0;22.0;,0,0,0,0;0;0;0;0;,0.802666667,0.347,2.707,0.3466666666666667;0.3466666666666667;0.29333333333333333;0.32;2.7066666666666666;,0.461946578,0.489,0.704,0.7042281515307348;0.33132165348365594;0.6408118187031264;0.4890515544568398;0.1443197095517338;
Jan 10-- 2021 5:06:20 PM,13631.4,13733,14954,13733;14313;14954;13047;12110;,0.412777171,0.44,0.548,0.510750433496461;0.5483514234976351;0.42613363946919575;0.43974135460814007;0.13890900257367253;,1421889795,1.42E+09,1429888297,1429888297;1423007282;1420595498;1418848703;1417109196;,52.2,52,53,53.0;52.0;52.0;52.0;52.0;,0.28638468,0.28,0.353,0.34968774315740686;0.2804046375363372;0.35277753476216656;0.1900353433182981;0.25901814268602746;,23,23,23,23.0;23.0;23.0;23.0;23.0;,0,0,0,0;0;0;0;0;,3.84,4.307,6.387,0.27999999999999997;2.3333333333333335;6.386666666666667;4.306666666666667;5.893333333333333;,0.41773782,0.448,0.551,0.5095410018094977;0.5509086420827355;0.44799770545627315;0.4396019536961209;0.14063979507102142;
Jan 10-- 2021 5:08:21 PM,12728.8,13891,14938,14938;13938;10001;13891;10876;,0.376483167,0.424,0.476,0.38383605816922634;0.4240494562849426;0.4505909237097463;0.47552733562333016;0.14841206024898096;,1490159597,1.49E+09,1495285576,1495285576;1492225557;1489326889;1487882528;1486077433;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.262247673,0.24,0.347,0.347420791572132;0.34217570198474045;0.16261839218994126;0.21935309078341314;0.23967038613471603;,24,24,24,24.0;24.0;24.0;24.0;24.0;,0,0,0,0;0;0;0;0;,1.928,2.32,4.32,0.3466666666666667;0.32;2.3333333333333335;4.32;2.32;,0.384151383,0.428,0.486,0.38828352712343794;0.4280532300339306;0.46784807367475756;0.48638432459798053;0.15018775969415699;
Jan 10-- 2021 5:10:23 PM,13772.2,13922,14938,14938;13922;14391;13500;12110;,0.432719135,0.493,0.518,0.4896186082556927;0.49296348915968663;0.5179264929445134;0.5030411198820269;0.16004596415242733;,1555967101,1.56E+09,1559999155,1559999155;1557993187;1556270077;1553605050;1551968034;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.267692216,0.25,0.427,0.1827103215637188;0.33307742325877704;0.1460036226454856;0.25000382296492335;0.42666589050236303;,25,25,25,25.0;25.0;25.0;25.0;25.0;,0,0,0,0;0;0;0;0;,2.616,2.333,6.347,2.3333333333333335;1.52;2.44;0.44;6.346666666666668;,0.436832756,0.5,0.522,0.5103817862651202;0.4894475187363653;0.5223986679916552;0.4998835752273241;0.16205223192207385;
Jan 10-- 2021 5:12:24 PM,11537.8,11641,12375,12375;11563;12000;11641;10110;,0.397535029,0.405,0.616,0.6164047426849358;0.40393328592804933;0.4068678723093152;0.1629342141436226;,1620874287,1.62E+09,1623949376,1623949376;1621443319;1619991657;1618112795;,53,53,53,53.0;53.0;53.0;53.0;,0.232586814,0.185,0.38,0.1844395885572986;0.37998948339378635;0.18109650905937347;0.18482167590184687;,26,26,26,26.0;26.0;26.0;26.0;,0,0,0,0;0;0;0;,2.86,2.373,6.44,2.373333333333333;2.373333333333333;6.4399999999999995;0.2533333333333333;,0.402818569,0.411,0.623,0.6233082128036502;0.41246067501374656;0.41038638843311104;0.16511900105347366;
Jan 10-- 2021 5:14:34 PM,13947.8,13798,14595,13485;14548;14595;13313;13798;,0.491733205,0.518,0.726,0.5533524924474306;0.4832063595206166;0.5643388262051887;0.7259333113814267;0.4685535358141096;0.15501470650840304;,1691159702,1.69E+09,1695800814,1695800814;1693044693;1691355268;1690038013;1689278204;1687441219;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;,0.265731604,0.253,0.362,0.19494633429885816;0.36199027447466425;0.19501117212826105;0.28109718951855917;0.3363246610106743;0.22501999322839022;,27,27,27,27.0;27.0;27.0;27.0;27.0;27.0;,0,0,0,0;0;0;0;0;0;,1.006666667,0.427,2.36,0.36;0.36;2.36;2.106666666666667;0.38666666666666666;0.46666666666666673;,0.497927743,0.522,0.753,0.5647597601962437;0.47914118081533175;0.5667831954268527;0.7526168179879518;0.4674306454214074;0.1568348573547963;
Jan 10-- 2021 5:16:37 PM,12697.2,12781,13907,12781;13907;12766;13188;10844;,0.331514561,0.343,0.468,0.3311094249693297;0.35445248996669254;0.4682684729098049;0.17222785605320343;,1762114074,1.76E+09,1765138373,1765138373;1762595426;1761122380;1759600117;,53,53,53,53.0;53.0;53.0;53.0;,0.377264818,0.361,0.495,0.32532925317228734;0.2927529735408729;0.39634863476453547;0.49462841238925453;,28,28,28,28.0;28.0;28.0;28.0;,0,0,0,0;0;0;0;,1.886666667,1.4,4.373,0.37333333333333335;4.373333333333333;2.373333333333333;0.4266666666666667;,0.334157702,0.346,0.472,0.33532244817939494;0.35578593430394373;0.4716656601624022;0.17385676490250623;
Jan 10-- 2021 5:18:46 PM,13250.4,13235,14219,13235;13813;14219;12250;12735;,0.430277122,0.482,0.558,0.5579803523089019;0.481506107473048;0.55587387873045;0.3917662906636457;0.16425897976082982;,1834356268,1.83E+09,1839075805,1839075805;1836066454;1834126074;1832177489;1830335517;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.384624793,0.393,0.51,0.3934764633798448;0.2530093072122595;0.319349864896091;0.44757368197682756;0.5097146478667464;,29,29,29,29.0;29.0;29.0;29.0;29.0;,0.2,0,1,0;0;0;1;0;,3.637333333,4.453,6.453,0.45333333333333337;0.4266666666666667;6.453333333333333;4.453333333333333;6.4;,0.434174703,0.48,0.573,0.5555692598677455;0.4803547949053244;0.573199003327704;0.3954511294767369;0.16629932621230947;
Jan 10-- 2021 5:20:51 PM,13144.4,13454,14610,14610;13454;13313;13845;10500;,0.517419108,0.542,0.827,0.5919564308679419;0.45947934775987626;0.826933387772142;0.5418883681795157;0.16683800591551975;,1906179621,1.91E+09,1910635315,1910635315;1909314816;1905184935;1904064418;1901698620;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.331866295,0.323,0.46,0.45980238661041073;0.3570026326975215;0.3232923626272884;0.220932881868258;0.29830121218409844;,30,30,30,30.0;30.0;30.0;30.0;30.0;,0,0,0,0;0;0;0;0;,1.544,0.44,4.427,0.44;0.02666666666666667;0.4266666666666667;4.426666666666667;2.4;,0.51940149,0.55,0.824,0.587683548375342;0.46735949734184634;0.8236686158427049;0.5495737590673757;0.1687220281840175;
Jan 10-- 2021 5:22:54 PM,13156.8,13641,14672,14672;13485;13985;13641;10001;,0.447407306,0.472,0.662,0.4720474031261012;0.6624862505710739;0.5789922370233329;0.35750002721586216;0.16601061387636049;,1976152614,1.98E+09,1981580275,1981580275;1978167766;1976195509;1973373800;1971445721;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.371123987,0.391,0.43,0.3911423413314446;0.3557650997210878;0.2703393757746551;0.4082228660465218;0.43015025390232053;,31,31,31,31.0;31.0;31.0;31.0;31.0;,0,0,0,0;0;0;0;0;,2.442666667,0.453,6.413,0.45333333333333337;0.41333333333333333;0.41333333333333333;4.52;6.413333333333333;,0.452440594,0.477,0.674,0.47728084173606866;0.6739198183847589;0.581045482471154;0.36004365637743435;0.16991317168552678;
